mileage_kmpl,engine_cc,owner_count,price_usd,color,accidents_reported,insurance_valid,car_age,brand_BMW,brand_Chevrolet,brand_Ford,brand_Honda,brand_Hyundai,brand_Kia,brand_Nissan,brand_Tesla,brand_Toyota,brand_Volkswagen,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol,transmission_Automatic,transmission_Manual,service_history_Full,service_history_Partial,service_history_Unknown
15.97,1500,2,6901.08,Red,0,Yes,5,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
14.92,800,4,1858.64,White,0,Yes,22,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
20.88,2000,5,6916.32,Gray,1,Yes,4,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
17.25,1800,2,8983.39,Blue,0,Yes,4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False
23.61,1000,3,6654.31,Silver,0,Yes,16,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
19.85,2000,5,6340.6,White,1,Yes,17,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
14.88,800,2,3263.63,Black,0,Yes,17,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False
19.69,1200,3,6564.08,Black,0,Yes,13,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False
13.49,1500,3,4548.99,Gray,0,No,20,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
22.73,1200,1,7396.53,Red,2,Yes,9,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
11.01,2000,2,6603.26,Silver,0,Yes,12,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
24.11,1500,1,10558.87,Silver,0,Yes,7,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
19.6,800,1,3727.01,Black,0,Yes,29,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
17.18,1800,4,7775.41,Black,0,No,27,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
21.82,1800,1,9200.45,Gray,0,Yes,13,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
20.56,4000,1,10397.17,Gray,0,No,25,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
24.65,3000,4,8650.95,Gray,0,Yes,11,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False
24.61,3000,4,9899.66,Silver,0,No,23,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
19.76,1800,5,4395.65,Silver,0,Yes,25,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
13.64,3000,1,8282.81,Red,0,Yes,14,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
15.29,5000,3,8083.56,Black,1,No,28,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False
17.64,2500,4,8216.22,Silver,0,Yes,7,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
23.41,800,2,6903.49,White,0,Yes,4,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
15.72,2500,5,5304.48,White,1,Yes,18,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False
16.14,3000,5,6862.02,White,0,Yes,14,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
27.24,1200,1,11413.96,Blue,0,Yes,6,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
17.48,4000,3,8191.43,White,1,Yes,23,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
14.83,3000,4,8248.22,Silver,1,No,6,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
21.88,1000,2,8819.21,Blue,0,No,11,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
17.72,2000,1,7194.95,Gray,1,Yes,30,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
11.05,1500,3,5150.71,Black,0,Yes,12,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False
23.2,1200,1,8327.32,Silver,1,Yes,4,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
14.26,2000,1,6737.61,White,0,Yes,17,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
18.22,5000,5,12125.07,Gray,1,No,4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
17.66,4000,2,8567.0,Gray,2,Yes,25,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
19.15,1000,2,5113.9,Black,1,Yes,20,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
7.04,5000,2,12985.97,Gray,1,Yes,3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
16.32,5000,2,9291.24,White,0,Yes,24,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
23.62,5000,4,10490.67,Red,1,Yes,17,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
24.33,1800,4,6128.32,Blue,0,Yes,29,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False
13.04,2000,2,5764.27,Gray,0,Yes,18,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
22.6,1500,3,6549.19,Black,1,No,15,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
14.19,2500,4,4597.91,White,0,No,28,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
16.13,1000,4,5888.31,Red,1,Yes,14,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
16.39,2500,3,5042.59,Blue,0,Yes,24,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
18.54,1000,2,2193.27,White,1,Yes,28,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True
23.01,800,1,4351.08,Silver,0,Yes,30,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
19.32,1800,4,4234.82,Red,1,Yes,26,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
17.37,1000,1,10738.88,Black,1,Yes,10,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
22.84,3000,1,8821.93,White,0,Yes,22,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
13.99,3000,3,7058.39,Black,1,No,28,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
17.61,800,2,5974.08,Silver,0,Yes,10,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
22.98,1500,1,8841.47,Black,0,Yes,3,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
20.65,4000,2,11386.9,Red,0,No,14,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
15.67,1800,5,6962.45,Blue,1,Yes,6,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
10.44,5000,2,9338.5,White,0,Yes,20,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
19.55,2000,3,5190.94,Gray,0,Yes,30,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False
10.11,1200,3,3953.91,Blue,0,Yes,22,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
16.94,1800,5,3280.74,White,0,Yes,28,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
23.89,800,3,6286.89,Black,1,Yes,18,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
20.98,3000,2,10376.58,Black,0,Yes,16,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
7.88,2000,2,5115.91,Red,1,Yes,17,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
19.0,1000,2,4968.68,Black,1,Yes,24,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
16.4,1500,3,8391.33,Silver,2,Yes,18,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False
11.63,1500,2,6147.01,Red,0,Yes,9,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
19.68,4000,4,10939.12,White,0,Yes,4,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
15.54,4000,5,7848.84,Black,0,Yes,7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
15.57,1800,4,5345.06,White,0,Yes,24,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
18.62,1200,2,7472.53,Black,0,Yes,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
14.87,800,3,2462.72,Red,1,Yes,16,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
18.48,2000,5,4981.61,Gray,0,Yes,19,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
15.03,3000,4,7840.34,Silver,0,Yes,14,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False
15.31,800,2,5641.82,White,0,Yes,17,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False
22.96,800,3,8842.66,Blue,0,No,11,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
23.47,2500,2,9419.87,Black,0,No,8,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
9.46,2500,4,7652.52,Red,1,Yes,6,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
21.74,1000,4,5677.46,White,1,No,7,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False
24.99,1200,5,8662.69,Red,1,Yes,4,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
25.79,1000,3,7897.75,White,2,Yes,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
20.6,2000,1,9866.21,Silver,1,Yes,4,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
12.71,3000,2,8823.31,Gray,1,Yes,19,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
21.15,3000,3,7364.01,Black,0,Yes,23,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False
13.65,800,1,8546.18,White,1,Yes,3,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
16.29,4000,3,7599.75,Blue,1,Yes,17,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
19.92,3000,2,9493.81,Black,2,Yes,19,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
13.98,4000,2,8360.51,Black,1,No,31,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False
12.27,4000,5,7168.89,Red,0,Yes,7,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
20.33,2000,4,4666.03,Black,0,Yes,25,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
27.34,1200,4,5336.48,White,0,Yes,23,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False
24.22,800,4,7016.61,Silver,0,No,8,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
21.54,3000,5,6545.0,White,0,Yes,31,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
22.9,5000,4,9050.98,Gray,0,Yes,20,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
21.19,1200,3,7622.55,Black,1,Yes,24,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
20.25,2500,4,7340.05,Blue,1,Yes,8,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
22.49,5000,4,9640.03,Gray,0,Yes,21,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
11.16,2000,2,7490.07,Blue,0,No,13,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
19.0,1200,5,3833.56,Gray,1,Yes,15,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
17.6,2000,5,4314.29,White,0,Yes,24,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
18.39,1200,4,2513.59,White,0,Yes,29,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True
15.69,4000,1,9336.12,White,1,No,29,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
20.6,800,2,1488.02,White,0,Yes,31,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False
13.91,3000,4,9960.68,Red,1,No,5,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
15.33,1800,1,6778.35,White,0,Yes,27,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
14.73,1500,3,5112.66,Red,2,Yes,22,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
22.32,800,2,4655.34,Black,0,Yes,25,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False
17.94,4000,5,8012.16,White,2,Yes,6,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False
15.7,4000,1,9876.22,White,1,Yes,23,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
16.13,1800,4,8344.84,Blue,2,Yes,4,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
18.02,4000,1,9313.76,Black,0,Yes,25,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
26.11,5000,5,9329.93,Black,0,Yes,23,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True
11.82,4000,3,9081.22,White,0,Yes,24,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
21.38,2500,1,7248.65,Black,1,No,20,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False
20.36,3000,4,6873.04,Silver,1,Yes,30,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
13.59,800,1,3508.18,Gray,1,Yes,31,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
25.33,1500,3,6516.66,Blue,1,Yes,16,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
20.7,5000,1,15872.61,Black,2,Yes,9,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
15.46,5000,3,15287.96,Silver,0,Yes,9,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False
8.7,1500,3,6477.7,White,1,Yes,8,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
19.15,4000,2,9058.47,Blue,0,Yes,27,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
17.78,1200,2,7185.76,Gray,1,Yes,29,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
12.85,5000,4,9244.95,Blue,0,No,20,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
12.78,5000,4,9491.03,Blue,0,Yes,24,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False
22.34,800,4,5779.98,Silver,1,Yes,10,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False
8.22,1800,3,4914.53,Red,0,Yes,5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
19.57,2500,3,4723.77,Blue,0,Yes,29,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
17.06,1500,2,5099.0,Silver,0,No,31,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
20.49,4000,3,8792.4,Gray,0,Yes,29,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
16.53,2000,2,4195.33,Red,0,Yes,27,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
19.47,2000,1,7042.82,Silver,0,No,17,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False
14.29,1200,4,3499.95,Silver,0,Yes,18,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
17.75,5000,4,10036.61,Silver,0,Yes,29,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
20.45,5000,5,6562.53,Blue,0,No,31,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
18.75,1800,2,4586.94,White,0,Yes,27,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
19.9,5000,5,11867.57,Gray,1,No,6,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
13.36,2000,4,5109.32,Blue,0,Yes,9,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
15.05,1500,5,4237.77,Gray,0,No,18,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
15.13,1200,1,6621.91,Gray,0,No,25,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
16.62,1800,5,5906.24,Blue,0,Yes,5,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False
24.79,2500,1,7555.63,Blue,1,Yes,23,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False
16.23,2000,4,5516.44,Blue,0,Yes,17,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
12.28,1000,3,3659.65,Red,2,Yes,17,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
20.71,800,2,7180.43,Red,0,Yes,6,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
24.73,1800,5,9413.59,Silver,2,Yes,22,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
11.69,1800,1,9169.91,Black,0,Yes,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
27.86,2000,4,8307.23,Gray,1,Yes,19,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False
20.08,1200,4,5484.11,Black,0,No,13,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
23.17,800,3,3959.19,White,0,Yes,25,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
25.34,1500,4,6548.13,Silver,0,No,15,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
22.86,1500,4,4960.39,Gray,0,Yes,12,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False
17.45,5000,3,13977.93,White,0,Yes,3,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
24.09,1000,4,3115.8,Red,1,No,28,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
19.27,3000,1,7518.48,Blue,1,Yes,27,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True
23.45,2000,5,7691.52,White,1,Yes,9,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
24.0,1200,5,2957.44,White,0,Yes,25,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
12.55,800,1,3914.74,Red,0,No,19,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
21.97,1200,5,5076.83,Silver,0,Yes,17,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
17.09,3000,4,7137.36,Blue,0,Yes,21,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
18.69,1500,5,12130.73,Blue,0,Yes,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
18.64,1200,5,2879.82,Silver,0,No,28,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
18.43,1500,4,5446.82,Gray,0,Yes,19,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
25.62,1500,5,6699.4,Red,0,Yes,25,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
11.17,1000,4,5736.05,Gray,1,Yes,5,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
9.39,1500,3,5659.79,Red,1,No,13,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
8.33,4000,3,6386.74,White,0,Yes,10,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
23.35,1500,5,6864.9,Black,0,Yes,4,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
14.13,800,3,2399.79,Black,1,Yes,30,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False
18.66,800,5,2177.79,Red,0,Yes,22,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False
17.43,800,3,4454.46,Silver,0,Yes,19,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
13.57,1800,5,6796.85,Gray,0,No,7,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True
22.26,2000,2,9244.49,Silver,1,Yes,11,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False
17.36,2000,1,5874.48,Black,1,No,26,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False
16.81,2000,3,6659.85,Gray,2,Yes,4,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
19.16,4000,4,11086.06,Silver,0,Yes,4,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
21.6,800,1,5172.28,Silver,2,No,20,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,False
13.21,5000,5,8117.19,Gray,1,Yes,20,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True
22.36,2000,1,8401.5,Blue,0,Yes,12,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False
25.25,3000,4,7333.1,Gray,1,Yes,21,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False
10.87,3000,4,7986.23,Silver,1,Yes,6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False
19.39,1200,5,5119.76,Blue,1,Yes,9,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
16.48,1800,3,9315.03,Gray,1,Yes,4,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
21.5,5000,3,13095.73,Blue,0,Yes,7,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True
11.92,1500,2,4500.31,Gray,1,No,25,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
26.14,800,4,3403.0,Black,1,Yes,31,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
9.96,4000,2,5470.93,Blue,1,Yes,31,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False
16.78,1800,4,7977.88,Red,0,Yes,7,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
